mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07047476768493652,0.00711009519771484,0.011579275131225586,0.006258156687747516,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8857142857142857,0.9642857142857143,0.9114285714285714,0.03213491965486284,13
0.22533187866210938,0.11342479074168477,0.018544435501098633,0.019022336758886364,5,75,"{'max_depth': 5, 'n_estimators': 75}",0.9214285714285714,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.95,0.9085714285714286,0.02649605284427341,14
0.17256393432617187,0.02210110668933234,0.010937166213989259,0.004713310665185935,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.9357142857142857,0.8714285714285714,0.9071428571428571,0.8928571428571429,0.9571428571428572,0.9128571428571428,0.03043896536094646,11
0.26670212745666505,0.014209196605187593,0.024073076248168946,0.007076555494748563,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.9285714285714286,0.8714285714285714,0.9142857142857143,0.8785714285714286,0.9714285714285714,0.9128571428571428,0.036253078686998626,11
0.5018198013305664,0.13239530107917247,0.042949247360229495,0.013470268119538263,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.9214285714285714,0.8714285714285714,0.9142857142857143,0.8714285714285714,0.9642857142857143,0.9085714285714286,0.034817307448439826,14
0.0805117130279541,0.001813660437072101,0.008072996139526367,0.005439158151308464,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9214285714285714,0.8928571428571429,0.9214285714285714,0.9,0.9642857142857143,0.9199999999999999,0.024907993963089556,10
0.11805171966552734,0.006696189447891447,0.014783573150634766,0.0017602781533826992,10,75,"{'max_depth': 10, 'n_estimators': 75}",0.9357142857142857,0.9,0.9357142857142857,0.9071428571428571,0.9571428571428572,0.927142857142857,0.020898198340468282,7
0.1517885684967041,0.007347265606191275,0.012468433380126953,0.006259589686060289,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9428571428571428,0.9,0.9428571428571428,0.8928571428571429,0.9571428571428572,0.927142857142857,0.025714285714285703,7
0.3580009460449219,0.025772972534431497,0.028135347366333007,0.006150606334549487,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.95,0.9071428571428571,0.9428571428571428,0.8928571428571429,0.9642857142857143,0.9314285714285713,0.026954231805875993,2
0.628634262084961,0.2327228329729391,0.07859606742858886,0.07159512478614265,10,300,"{'max_depth': 10, 'n_estimators': 300}",0.95,0.8928571428571429,0.9357142857142857,0.9,0.9642857142857143,0.9285714285714285,0.027847983842311307,5
0.1440577983856201,0.028831121621501227,0.028501367568969725,0.021312041765906745,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.9285714285714286,0.9,0.9285714285714286,0.8928571428571429,0.9714285714285714,0.9242857142857142,0.02770102775666472,9
0.18259525299072266,0.03465001912636001,0.01618027687072754,0.0035006914867439795,15,75,"{'max_depth': 15, 'n_estimators': 75}",0.9142857142857143,0.9,0.95,0.9142857142857143,0.9642857142857143,0.9285714285714285,0.024327694808466287,5
0.21657710075378417,0.024754895060324304,0.02045612335205078,0.004044036876996526,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.9428571428571428,0.9,0.95,0.9,0.9642857142857143,0.9314285714285713,0.026572964625340378,2
0.3481609344482422,0.024208372367519937,0.030740737915039062,0.001754095136570527,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.9428571428571428,0.9,0.95,0.8928571428571429,0.9642857142857143,0.9299999999999999,0.02835633320182742,4
0.6269305229187012,0.08954818345288383,0.05031704902648926,0.011484711561362089,15,300,"{'max_depth': 15, 'n_estimators': 300}",0.9428571428571428,0.9,0.9428571428571428,0.9071428571428571,0.9714285714285714,0.9328571428571427,0.026186146828319073,1
